column,description
conv_path,The global path of the instantiated model converted to XML
id,The index in the source was found in the file system
is_parsed,"A boolean value that show if the model could be parsed or not, if it wasn't, model could be broken"
is_sys_design,A boolean value that show if in the model[source] there was found a SystemInstance model
model_name,The name of the model resulting of parsing the file .aadl
no_data_comp,The number of component which belong to the category of ["data"]
no_hardware_comp,"The number of component which belong to the category of [""device"",""memory"",""bus"",""processor""]"
no_software_comp,"The number of component which belong to the category of [""process"",""thread"",""subprogram"",""threadGroup"",""subprogramGroup""]"
num_comp,The number of component of the model ComponentInstance
num_conn,The number of connections of the model ConnectionInstance
num_errors,A maximum of 10 error resulting of the validation provided by OSATE api over and aadl model
size,The sum of components and connection
src_ext,The extension of the model[source] ex: .aadl 
src_path,The global path where the model[source] was found in the file system
sys_name,The name of the SystemInstance model found
udy,"The Understandability: The number of connections between components divided by N^2-N, where N is the number of components"
